Name,Image,Team,Batting_Style,Bowling_Style,Playing_Role
Rahul Chahar,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTOuwbb1SW3AvFMqoqEzVVIUVIGBrnSS2tTr2sSRQbSvnDhaxsJn88ZYnZrDg&s,Punjab Kings ,Right hand Bat,Legbreak Googly,Bowler
Sam Curran,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRwr8ennlNSg4ELW1Qisdm8fJ6_ZDZezYzhOw1QBoEYgVACD9xYP24fku0LWeU&s,Punjab Kings ,Left hand Bat,Left arm Medium fast,Allrounder
Rishi Dhawan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ6Pqbr5RG3oD7jpq5BNB0TpVFVblE_pkLQIG_3Raji886Tchi_F8iHg-dRAQ&s,Punjab Kings ,Right hand Bat,Right arm Medium fast,Allrounder
Nathan Ellis,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQq467FWsyWBakfUCwdtG3Iqxq_QTAJn7xCNUQgOrHCZWW-d6yCxiAWZfk-mg&s,Punjab Kings ,Right hand Bat,Right arm Fast medium,Bowler
Gurnoor Brar,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRRf2sI97VONEmEyedjCE2UBrOoZUL3iVo9IfxGIpUJDU0Ap_eqDhKQ9kgR-Q&s,Punjab Kings ,Left hand Bat,Right arm Fast,Bowler
Harpreet Brar,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR52aNs8wgY-LAtFb53CsjAugSUmn-6qS4YUV3IndpEcC1p5n6sfOsb0eispA&s,Punjab Kings ,Left hand Bat,Slow Left arm Orthodox,Bowler
Harpreet Singh,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT3M6i2uuSBTZEcy5RDJiz1zJ4bL6Yh5wvIwkt8dwkaS7gxnR3xDLuvT8PlbQ&s,Punjab Kings ,Left hand Bat,Right arm Medium,Batter
Vidwath Kaverappa,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ2SXk6OX12vNRAMPDCRubOWtfNYOEAT42J6cq7CjK49SjPgWS3nKPR9yn1aA&s,Punjab Kings ,Right hand Bat,Right arm Fast medium,Bowler
Liam Livingstone,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQKD8EKRiG9q8AUYnt3Tu8ac70p-pTRubOPgqC55GzncTY8lztTARbx53Otit8&s,Punjab Kings ,Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder
Mohit Rathee,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTli5TEhDw3UK3EksC_X7vYVwt9sqFl1w05_jOYl19z0MWCqGD7fI9_Stz6Sg&s,Punjab Kings ,Right hand Bat,Legbreak,Allrounder
Prabhsimran Singh,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSXgvj2EAfG3ghupx5cG70Dvb0s8bAHxPKEOcs2u1V6pqXTjf_UGlLLokl2MVw&s,Punjab Kings ,Right hand Bat,,Wicketkeeper Batter
Kagiso Rabada,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTLZxEt_XnGk0yaSUhOJVTHYnk1woRkxTKxHg1ZgQ1EH7mzqqm4Zmo0EHXWeQ&s,Punjab Kings ,Left hand Bat,Right arm Fast,Bowler
Bhanuka Rajapaksa,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSVD0rmilmvrCvLNmw5cPF4auxu8P-ltXkNI2JiFb5JF-JGVsLslrf-WcpD42I&s,Punjab Kings ,Left hand Bat,Right arm Medium,Top order Batter
M Shahrukh Khan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-kP3pEKT3KuqoK83_VUTD0djYvdeu2CfZZHehnTg4mbdWmW8J1ZlYVwCC7Vk&s,Punjab Kings ,Right hand Bat,Right arm Offbreak,Batter
Jitesh Sharma,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTF3eCx-Op_RnY3zRNIyjYKzZaP4ZrooJecUAfQ_o78szN9Ng5JNbLzP6pz9A&s,Punjab Kings ,Right hand Bat,,Wicketkeeper Batter
Shivam Singh,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRDWnm9k9o7WrkB55lmWPQGXIV4YB1w9VR7hdKH__R-4Bx4WqVxbdjVMa_GXkQ&s,Punjab Kings ,Right hand Bat,Right arm Offbreak,Middle order Batter
Matthew Short,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJ__Phrfcbbxp20AFSrb_VpzF_3LQvWh3WPA-nIi47phjrL58N5qtdvdINFg&s,Punjab Kings ,Right hand Bat,Right arm Offbreak,Top order Batter
Sikandar Raza,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQFGuracsxiF9WtjPat7WowNVocd9SCvINYMx8K9TvZpgBY120MNU__ZWffPQ&s,Punjab Kings ,Right hand Bat,Right arm Offbreak,Batting Allrounder
